refPokemon,refLocation,refVideogame,rate,location,time,level
21,1,1,12.5,Grass,any,2
21,1,1,12.5,Grass,any,3
21,1,1,12.5,Grass,any,4
21,1,1,12.5,Grass,any,5
14,2,3,5,Grass,any,5
17,2,1,5,Grass,any,3
17,2,1,5,Grass,any,4
21,1,3,12.5,Grass,any,2
21,1,3,12.5,Grass,any,3
21,1,3,12.5,Grass,any,4
21,1,3,12.5,Grass,any,5
21,1,4,16.667,Grass,any,2
21,1,4,16.667,Grass,any,3
21,1,4,16.667,Grass,any,4
21,1,4,16.667,Grass,any,5
21,1,4,16.667,Grass,any,6
21,1,4,16.667,Grass,any,7
25,1,1,16.667,Grass,any,2
25,1,1,16.667,Grass,any,3
25,1,1,16.667,Grass,any,4
14,2,3,5,Grass,any,4
14,2,3,5,Grass,any,3
25,1,3,16.667,Grass,any,2
25,1,3,16.667,Grass,any,3
25,1,3,16.667,Grass,any,4
25,1,4,10,Grass,any,2
25,1,4,10,Grass,any,3
25,1,4,10,Grass,any,4
33,1,4,100,Only One,any,5
17,2,1,5,Grass,any,5
21,2,1,15,Grass,any,3
21,2,1,15,Grass,any,4
21,2,1,15,Grass,any,5
21,2,3,15,Grass,any,3
21,2,3,15,Grass,any,4
21,2,3,15,Grass,any,5
21,2,4,16.667,Grass,any,3
21,2,4,16.667,Grass,any,5
21,2,4,16.667,Grass,any,7
25,2,1,10,Grass,any,2
25,2,1,10,Grass,any,3
25,2,1,10,Grass,any,4
25,2,1,10,Grass,any,5
25,2,3,10,Grass,any,2
25,2,3,10,Grass,any,3
25,2,3,10,Grass,any,4
25,2,3,10,Grass,any,5
25,2,4,17.5,Grass,any,3
25,2,4,17.5,Grass,any,4
41,2,4,7.5,Grass,any,4
41,2,4,7.5,Grass,any,6
44,2,4,7.5,Grass,any,4
44,2,4,7.5,Grass,any,6
156,2,1,100,Trade Abra,any,-1
156,2,3,100,Trade Abra,any,-1
156,2,4,100,Trade Clefairy,any,-1
21,3,1,15,Grass,any,6
21,3,1,15,Grass,any,7
21,3,1,15,Grass,any,8
21,3,3,15,Grass,any,6
21,3,3,15,Grass,any,7
21,3,3,15,Grass,any,8
25,3,4,7.5,Grass,any,10
25,3,4,7.5,Grass,any,12
29,3,1,11.25,Grass,any,5
29,3,1,11.25,Grass,any,6
29,3,1,11.25,Grass,any,7
29,3,1,11.25,Grass,any,8
29,3,3,11.25,Grass,any,5
29,3,3,11.25,Grass,any,6
29,3,3,11.25,Grass,any,7
29,3,3,11.25,Grass,any,8
29,3,4,11,Grass,any,8
29,3,4,11,Grass,any,9
29,3,4,11,Grass,any,10
29,3,4,11,Grass,any,11
29,3,4,11,Grass,any,12
37,3,4,7.5,Grass,any,8
37,3,4,7.5,Grass,any,10
53,3,1,3.333,Grass,any,3
53,3,1,3.333,Grass,any,5
53,3,1,3.333,Grass,any,7
53,3,3,3.333,Grass,any,3
53,3,3,3.333,Grass,any,5
53,3,3,3.333,Grass,any,7
75,3,4,15,Grass,any,9
